Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End,Day of Week,Cool Streets
Lower East Side Partnership,Manhattan,Broome Street,Allen Street,Ludlow Street,Temporary Limited Local Access,07/24/2020,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,ALL,
Lower East Side Partnership,Manhattan,Broome Street,Ludlow Street,Allen Street,Temporary Full Closure,07/03/2020,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,ALL,
Enlightenment Wines Farm and Meadery LLC.,Brooklyn,Randolph Street,Gardner Avenue,Scott Avenue,Temporary Full Closure,10/28/2020,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,"R,F,S,U",
Cervo's,Manhattan,Canal Street,Orchard Street,Essex Street,Temporary Full Closure,07/17/2020,3:00PM,11:00PM,3:00PM,11:00PM,3:00PM,11:00PM,3:00PM,11:00PM,3:00PM,11:00PM,12:00PM,11:00PM,10:00AM,11:00PM,ALL,Y
Kettle of Fish,Manhattan,Christopher Street,Waverly Place,7 Avenue South,Temporary Full Closure,07/17/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",
Third Avenue Business Improvement District,Bronx,Willis Avenue,East 147th Street,East 148th Street,Temporary Full Closure,10/02/2020,10:30AM,8:00PM,10:30AM,8:00PM,10:30AM,8:00PM,10:30AM,8:00PM,10:30AM,8:00PM,10:30AM,8:00PM,10:30AM,8:00PM,ALL,
Willowtown Association,Brooklyn,Columbia Place,Joralemon Street,State Street,Temporary Limited Local Access,05/24/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Cobble Hill Association,Brooklyn,Congress Street,Clinton Street,Henry Street,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Palma,Manhattan,Cornelia Street,Bleecker Street,West 4th Street,Temporary Full Closure,07/31/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,12:00AM,12:00PM,12:00AM,12:00PM,12:00AM,"F,S,U",
Nino's AQ,Queens,Ditmars Boulevard,33rd Street,36th Street,Temporary Full Closure,08/28/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,9:00PM,12:00PM,9:00PM,12:00PM,9:00PM,"F,S,U",
Thai Community USA,Queens,Woodside Avenue,76th Street,78th Street,Temporary Full Closure,07/17/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,10:00PM,12:00PM,10:00PM,12:00PM,10:00PM,"F,S,U",
Hudson Square Business Improvement District,Manhattan,Dominick Street,Varick Street,Little 6th Avenue,Temporary Limited Local Access,06/25/2020,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,ALL,Y
Chinatown Business Improvement District,Manhattan,Doyers Street,Bowery,Pell Street,Temporary Full Closure,07/03/2020,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,ALL,
North Brooklyn Open Streets Community Coalition,Brooklyn,Driggs Avenue,Monitor Street,Meeker Avenue,Temporary Limited Local Access,06/25/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Khe-Yo,Manhattan,Duane Street,Hudson Street,West Broadway,Temporary Full Closure,09/11/2020,11:00AM,10:00PM,11:00AM,10:00PM,11:00AM,10:00PM,11:00AM,10:00PM,11:00AM,10:00PM,12:00PM,11:00PM,12:00PM,11:00PM,ALL,
Uptown Grand Central,Manhattan,East 101st Street,3rd Avenue,Park Avenue,Temporary Full Closure,07/03/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",
Gramercy Neighborhood Associates,Manhattan,East 18th Street,Park Avenue South,Irving Place,Temporary Full Closure,07/31/2020,3:00PM,12:00AM,3:00PM,12:00AM,3:00PM,12:00AM,3:00PM,12:00AM,3:00PM,12:00AM,10:00AM,12:00AM,10:00AM,12:00AM,ALL,
Rezdora,Manhattan,East 20th Street,Park Avenue,Broadway,Temporary Full Closure,07/17/2020,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,12:00PM,11:00PM,10:00AM,11:00PM,"M,T,R,W,F,S,U",
The Churchill,Manhattan,East 28th Street,Madison Avenue,Park Avenue,Temporary Full Closure,08/28/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",Y
Hangawi Restaurant,Manhattan,East 32nd Street,5th Avenue,Madison Avenue,Temporary Full Closure,07/17/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,"F,S,U",
Overthrow Hospitality,Manhattan,East 7th Street,Avenue A,1st Avenue,Temporary Full Closure,07/17/2020,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,4:00PM,11:00PM,ALL,
Church of the Heavenly Rest,Manhattan,East 90th Street,5th Avenue,Madison Avenue,Temporary Full Closure,07/24/2020,N/A,N/A,6:00PM,8:00PM,3:00PM,6:00PM,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,2:00PM,"T,W,U",
Peasant,Manhattan,Elizabeth Street,Spring Street,Prince Street,Temporary Full Closure,08/14/2020,4:30PM,11:00PM,4:30PM,11:00PM,4:30PM,11:00PM,4:30PM,11:00PM,4:30PM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,"M,T,R,W,F,S,U",
Forest Park,Queens,Freedom Drive,Park Lane South,Myrtle Avenue,Temporary Full Closure,05/02/2020,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,ALL,
Gertie,Brooklyn,Grand Street,Marcy Avenue,Roebling Street,Temporary Full Closure,09/11/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,10:00AM,11:00PM,10:00AM,11:00PM,"F,S,U",
Hall Street Block Association,Brooklyn,Hall Street,Park Avenue,Myrtle Avenue,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Red Hook Recreation Center,Brooklyn,Henry Street,Lorraine Street,Bay Street,Temporary Limited Local Access,06/25/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Hudson Yards Hell's Kitchen Alliance,Manhattan,Hudson Blvd East,West 35th Street,West 36th Street,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Hudson Yards Hell's Kitchen Alliance,Manhattan,Hudson Blvd West,West 35th Street,West 36th Street,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
700 Jefferson Avenue Block Association,Brooklyn,Jefferson Avenue,Patchen Avenue,Malcolm X Boulevard,Temporary Limited Local Access,07/24/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,"F,S,U",
LES Enfants de Boheme,Manhattan,Jefferson Street,East Broadway,Madison Street,Temporary Limited Local Access,06/25/2020,10:00AM,9:00PM,N/A,N/A,N/A,N/A,10:00AM,9:00PM,10:00AM,9:00PM,10:00AM,9:00PM,10:00AM,9:00PM,"R,F,S,U",
Blind Tiger,Manhattan,Jones Street,Bleecker Street,West 4th Street,Temporary Full Closure,07/17/2020,5:00PM,10:00PM,5:00PM,10:00PM,5:00PM,10:00PM,5:00PM,10:00PM,5:00PM,10:00PM,11:00AM,11:00PM,11:00AM,11:00PM,ALL,
Willowtown Association,Brooklyn,Joralemon Street,Hicks Street,Furman Street,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Hudson Square Business Improvement District,Manhattan,King Street,Hudson Street,Greenwich Street,Temporary Limited Local Access,06/25/2020,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,N/A,ALL,
Osteria Morini,Manhattan,Lafayette Street,Spring Street,Kenmare Street,Temporary Full Closure,07/17/2020,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,ALL,
Hudson Square Business Improvement District,Manhattan,Little 6th Avenue,Spring Street,Broome Street,Temporary Limited Local Access,06/25/2020,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,5:00PM,9:00AM,11:00PM,9:00AM,11:00PM,9:00AM,11:00PM,9:00AM,11:00PM,"M,T,W,R,F,S,U",
Lower East Side Partnership,Manhattan,Ludlow Street,Rivington Street,Stanton Street,Temporary Limited Local Access,05/07/2020,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,ALL,
Village Alliance,Manhattan,MacDougal Street,West 8th Street,West 4th Street,Temporary Limited Local Access,05/23/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:30AM,1:30PM,U,
MacDougal Merchants Association,Manhattan,MacDougal Street,West 8th Street,West 3rd Street,Temporary Full Closure,07/17/2020,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,10:00AM,11:00PM,ALL,
Flushing Meadows,Queens,Meadow Lake Drive,Model AirPlane Field/Van Wyck Blvd On Ramp,Meadow Lake Bridge Parking Lot,Temporary Full Closure,05/02/2020,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,ALL,
North Brooklyn Open Streets Community Coalition,Brooklyn,Nassau Avenue,Banker Street,Lorimer Street,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Lower East Side Partnership,Manhattan,Orchard Street,Delancey Street,East Houston Street,Temporary Limited Local Access,05/07/2020,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,ALL,Y
Lower East Side Partnership,Manhattan,Orchard Street,Grand Street,Delancey Street,Temporary Full Closure,07/03/2020,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,ALL,Y
Boreum Hill Association,Brooklyn,Pacific Street,Smith Street,Nevins Street,Temporary Limited Local Access,06/25/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8:00AM,8:00PM,8:00AM,8:00PM,"S,U",
Grattan Street Merhcant Group,Brooklyn,Grattan Street,Morgan Avenue,Bogart Street,Temporary Limited Local Access,05/23/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:00AM,8:00PM,U,
Alliance for Downtown New York,Manhattan,Pearl Street,Broad Street,Wall Street,Temporary Limited Local Access,05/23/2020,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,11:00AM,3:00PM,ALL,
Alliance for Downtown New York,Manhattan,Pearl Street,Broad Street,Wall Street,Temporary Full Closure,07/17/2020,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:000PM,12:00PM,11:00PM,12:00PM,11:00PM,ALL,
Chinatown Business Improvement District,Manhattan,Pell Street,Bowery,Mott Street,Temporary Full Closure,07/31/2020,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM,12:00PM,11:00PM,10:00AM,11:00PM,ALL,
Downtown Brooklyn Partnership,Brooklyn,Lawrence Street,Fulton Street,Willoughby Street,Temporary Limited Local Access,05/07/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:00PM,12:00AM,11:00AM,12:00PM,11:00AM,8:00PM,"F,S,U",
Kesher Bridging Communities,Queens,Reads Lane,Empire Avenue,Jarvis Avenue,Temporary Limited Local Access,06/25/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,9:00PM,8:00AM,8:00PM,12:00PM,8:00PM,"F,S,U",
Hometown Bar B Que,Brooklyn,Reed Street,Conover Street,Van Brunt Street,Temporary Full Closure,07/03/2020,N/A,N/A,12:00PM,10:00PM,12:00PM,10:00PM,12:00PM,10:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,10:00PM,"T,W,R,F,S,U",
Lower East Side Partnership,Manhattan,Rivington Street,Allen Street,Ludlow Street,Temporary Limited Local Access,05/07/2020,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,ALL,
Rivington East Merchants Association,Manhattan,Rivington Street,Essex Street,Norfolk Street,Temporary Full Closure,07/17/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:00PM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,"F,S,U",
Ray's Bar,Manhattan,Rivington Street,Chrystie Street,Bowery,Temporary Full Closure,09/11/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12:00PM,12:00AM,12:00PM,12:00AM,"S,U",
North Brooklyn Open Streets Community Coalition,Brooklyn,Russell Street,Nassau Avenue,Driggs Avenue,Temporary Limited Local Access,05/23/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Sharon Street Block Association,Brooklyn,Sharon Street,Morgan Avenue,Olive Street,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Silver Lake Park,Staten Island,Silver Lake Park Road,Forest Avenue,Victory Boulevard,Temporary Full Closure,05/02/2020,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,24/7,ALL,
Sunnyside Woodside Open Streets,Queens,Skillman Avenue,39th Place,43rd Street,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Fort Greene,Brooklyn,South Portland Avenue,Fulton Street,Dekalb Avenue,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
"St Tropez Soho, LLC",Manhattan,Spring Street,Sullivan Street,Thompson Street,Temporary Full Closure,07/17/2020,N/A,N/A,N/A,N/A,5:00PM,11:00PM,5:00PM,11:00PM,4:00PM,12:00AM,11:00AM,12:00AM,11:00AM,11:00PM,"W,R,F,S,U",
Bistro Les Amis,Manhattan,Spring Street,Thompson Street,West Broadway,Temporary Full Closure,07/31/2020,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,11:00AM,11:00PM,ALL,
Mari Makan LLC,Manhattan,Spring Street,Mott Street,Elizabeth Street,Temporary Full Closure,08/14/2020,12:00PM,12:00AM,12:00PM,12:00AM,12:00PM,12:00AM,12:00PM,12:00AM,12:00PM,12:00AM,10:00AM,12:00AM,10:00AM,12:00AM,ALL,
Village Alliance,Manhattan,St Marks Place,3rd Avenue,2nd Avenue,Temporary Full Closure,07/17/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:30PM,12:00AM,11:30AM,12:00AM,11:30AM,12:00AM,"F,S,U",
St Marks Business Coalition,Manhattan,St Marks Place,1st Avenue,Avenue A,Temporary Full Closure,09/11/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4:30PM,11:00PM,11:30AM,11:00PM,11:30AM,10:00PM,"F,S,U",
Lower East Side Partnership,Manhattan,Stanton Street,Allen Street,Ludlow Street,Temporary Limited Local Access,05/07/2020,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,12:00PM,8:00PM,ALL,
Boerum Hill Association,Brooklyn,State Street,Nevins Street,Smith Street,Temporary Limited Local Access,05/23/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Willowtown Association,Brooklyn,State Street,Willow Place,Columbia Place,Temporary Limited Local Access,05/14/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Judson Memorial Church,Manhattan,Thompson Street,West 3rd Street,Washington Square South,Temporary Limited Local Access,07/24/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
Kingsbridge,Bronx,Tibbett Avenue,West 238th Street,West 232nd Street,Temporary Limited Local Access,06/25/2020,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM,ALL,
